,id,location,name,link,location_new,x,y
12788,16467,"40.7364006,-73.98000336",332 East 22nd Street,/building/332-east-22-street-manhattan,"['40.7364006', '-73.98000336']",40.7364006,-73.98000336
12789,16468,"40.73649979,-73.9803009",320 East 22nd Street,/building/320-east-22-street-new_york,"['40.73649979', '-73.9803009']",40.73649979,-73.9803009
12790,16470,"40.73680115,-73.98100281",374 Second Avenue,/building/374-2-avenue-manhattan,"['40.73680115', '-73.98100281']",40.73680115,-73.98100281
12791,322556,"40.71459961,-74.00710297",124 West 18th Street,/building/124-west-18-street-manhattan,"['40.71459961', '-74.00710297']",40.71459961,-74.00710297
12792,322582,"40.74079895,-73.98439789",122 East 25th Street,/building/122-east-25-street-new_york,"['40.74079895', '-73.98439789']",40.74079895,-73.98439789
12793,16817,"40.76319885,-73.98110199",160 West 54th Street,/building/160-west-54-street-manhattan,"['40.76319885', '-73.98110199']",40.76319885,-73.98110199
12794,2557,"40.71390152,-73.98960114",The Forward Building,/building/the-forward-building,"['40.71390152', '-73.98960114']",40.71390152,-73.98960114
12795,2192,"40.71300125,-73.99030304",26 Rutgers Street,/building/26-rutgers-street-manhattan,"['40.71300125', '-73.99030304']",40.71300125,-73.99030304
12796,16212,"40.74720001,-73.97679901",551 Third Avenue,/building/551-3-avenue-new_york,"['40.74720001', '-73.97679901']",40.74720001,-73.97679901
12797,2196,"40.71310043,-73.9905014",140 Henry Street,/building/140-henry-street-manhattan,"['40.71310043', '-73.9905014']",40.71310043,-73.9905014
12798,16216,"40.74779892,-73.97619629",567 Third Avenue,/building/567-3-avenue-manhattan,"['40.74779892', '-73.97619629']",40.74779892,-73.97619629
12799,16221,"40.74700165,-73.97460175",245 East 37th Street,/building/245-east-37-street-manhattan,"['40.74700165', '-73.97460175']",40.74700165,-73.97460175
12800,16137,"40.74539948,-73.97650146",231 East 34th Street,/building/231-east-34-street-manhattan,"['40.74539948', '-73.97650146']",40.74539948,-73.97650146
12801,16156,"40.7458992,-73.97709656",214 East 35th Street,/building/214-east-35-street-manhattan,"['40.7458992', '-73.97709656']",40.7458992,-73.97709656
12802,16158,"40.74599838,-73.97720337",210 East 35th Street,/building/210-east-35-street-manhattan,"['40.74599838', '-73.97720337']",40.74599838,-73.97720337
12803,16161,"40.74599838,-73.97730255",204 East 35th Street,/building/204-east-35-street-manhattan,"['40.74599838', '-73.97730255']",40.74599838,-73.97730255
12804,2365,"40.71310043,-73.99620056",33 Henry Street,/building/33-henry-street-manhattan,"['40.71310043', '-73.99620056']",40.71310043,-73.99620056
12805,16603,"40.74689865,-73.97360229",302 East 38th Street,/building/302-east-38-street-new_york,"['40.74689865', '-73.97360229']",40.74689865,-73.97360229
12806,30208,"40.7887001,-73.94860077",1571 Lexington Avenue,/building/1571-lexington-avenue-new_york,"['40.7887001', '-73.94860077']",40.7887001,-73.94860077
12807,30213,"40.78919983,-73.94950104",124 East 101st Street,/building/124-east-101-street-manhattan,"['40.78919983', '-73.94950104']",40.78919983,-73.94950104
12808,30214,"40.78929901,-73.94950104",122 East 101st Street,/building/122-east-101-street-manhattan,"['40.78929901', '-73.94950104']",40.78929901,-73.94950104
12809,30229,"40.78910065,-73.95010376",105 East 100th Street,/building/105-east-100-street-manhattan,"['40.78910065', '-73.95010376']",40.78910065,-73.95010376
12810,2402,"40.71369934,-73.99749756",8 Catherine Street,/building/8-catherine-street-new_york,"['40.71369934', '-73.99749756']",40.71369934,-73.99749756
12811,30241,"40.78939819,-73.9489975",129 East 101st Street,/building/129-east-101-street-manhattan,"['40.78939819', '-73.9489975']",40.78939819,-73.9489975
12812,2407,"40.71369934,-73.99680328",26 East Broadway,/building/26-east-broadway-manhattan,"['40.71369934', '-73.99680328']",40.71369934,-73.99680328
12813,2410,"40.71369934,-73.99649811",32 East Broadway,/building/32-east-broadway-manhattan,"['40.71369934', '-73.99649811']",40.71369934,-73.99649811
12814,30252,"40.78900146,-73.94730377",1836 Third Avenue,/building/1836-3-avenue-manhattan,"['40.78900146', '-73.94730377']",40.78900146,-73.94730377
12815,35385,"40.80410004,-73.96530151",528 West 111st Street,/building/528-west-111-street-new_york,"['40.80410004', '-73.96530151']",40.80410004,-73.96530151
12816,30421,"40.79140091,-73.94529724",1912 Third Avenue,/building/1912-3-avenue-manhattan,"['40.79140091', '-73.94529724']",40.79140091,-73.94529724
12817,405,"40.70869827,-74.00530243",64 Fulton Street,/building/64-fulton-street-new_york,"['40.70869827', '-74.00530243']",40.70869827,-74.00530243
12818,21432,"40.78580093,-73.97789764",221 West 82nd Street,/building/221-west-82-street-new_york,"['40.78580093', '-73.97789764']",40.78580093,-73.97789764
12819,17538,"40.76470184,-73.98660278",346 West 53rd Street,/building/346-west-53-street-manhattan,"['40.76470184', '-73.98660278']",40.76470184,-73.98660278
12820,8088,"40.73289871,-73.98889923",122 East 13th Street,/building/122-east-13-street-new_york,"['40.73289871', '-73.98889923']",40.73289871,-73.98889923
12821,32646,"40.81309891,-73.94020081",Lenox Terrace,/building/lenox-terrace-40-west-135-street-new_york,"['40.81309891', '-73.94020081']",40.81309891,-73.94020081
12822,16197,"40.7466011,-73.97699738",535 Third Avenue,/building/535-3-avenue-manhattan,"['40.7466011', '-73.97699738']",40.7466011,-73.97699738
12823,31349,"40.78929901,-73.94100189",347 East 105th Street,/building/347-east-105-street-manhattan,"['40.78929901', '-73.94100189']",40.78929901,-73.94100189
12824,6238155,"40.72340012,-73.99449921",252 Mott Street,/building/252-mott-street-new_york,"['40.72340012', '-73.99449921']",40.72340012,-73.99449921
12825,16241,"40.74769974,-73.97440338",241 East 38th Street,/building/241-east-38-street-new_york,"['40.74769974', '-73.97440338']",40.74769974,-73.97440338
12826,30477,"40.79299927,-73.9464035",124 East 107th Street,/building/124-east-107-street-manhattan,"['40.79299927', '-73.9464035']",40.79299927,-73.9464035
12827,30322,"40.79050064,-73.94779968",1634 Lexington Avenue,/building/1634-lexington-avenue-manhattan,"['40.79050064', '-73.94779968']",40.79050064,-73.94779968
12828,30339,"40.79029846,-73.94650269",178 East 104th Street,/building/178-east-104-street-manhattan,"['40.79029846', '-73.94650269']",40.79029846,-73.94650269
12829,30342,"40.79059982,-73.94660187",170 East 104th Street,/building/170-east-104-street-manhattan,"['40.79059982', '-73.94660187']",40.79059982,-73.94660187
12830,2517,"40.71409988,-73.99199677",126 East Broadway,/building/126-east-broadway-new_york,"['40.71409988', '-73.99199677']",40.71409988,-73.99199677
12831,2525,"40.71409988,-73.99089813",150 East Broadway,/building/150-east-broadway-manhattan,"['40.71409988', '-73.99089813']",40.71409988,-73.99089813
12832,2526,"40.71419907,-73.99089813",152 East Broadway,/building/152-east-broadway-manhattan,"['40.71419907', '-73.99089813']",40.71419907,-73.99089813
12833,4913,"40.72330093,-73.98799896",14 First Avenue,/building/14-1-avenue-manhattan,"['40.72330093', '-73.98799896']",40.72330093,-73.98799896
12834,22700,"40.76119995,-73.97239685",58 East 56th Street,/building/58-east-56-street-manhattan,"['40.76119995', '-73.97239685']",40.76119995,-73.97239685
